,name,F1,EM,mrt
0,BM25-top5,0.32382023301413804,0.196398891966759,0.0
1,BM25-top10,0.35182381783708483,0.22105263157894736,0.0
2,TCT-JPQ-top5,0.3661967932765431,0.23047091412742382,268.6536436240057
3,TCT-HNSW-top5,0.3453681129581406,0.2188365650969529,89.45249037951272
4,TCT-Flat-top5,0.386448840479312,0.24875346260387812,0.0
5,TCT-JPQ-top10,0.38510612963521634,0.2484764542936288,0.0
6,TCT-HNSW-top10,0.36014103624906935,0.2365650969529086,184.24564550225713
7,TCT-Flat-top10,0.4026616458333913,0.2628808864265928,0.0
8,E5-JPQ-top5,0.4070020621747856,0.2659279778393352,0.0
9,E5-HNSW-top5,0.4391448029704341,0.292797783933518,90.68204206195234
10,E5-Flat-top5,0.4629366702676147,0.3124653739612188,0.0
11,E5-JPQ-top10,0.4347343865170817,0.28753462603878116,0.0
12,E5-HNSW-top10,0.4390172953352723,0.2919667590027701,168.63702256309895
13,E5-Flat-top10,0.4643582117288207,0.3155124653739612,0.0
14,NoRAG,0.19738586266724475,0.09833795013850416,0.0
